study_id,StudyClass,Treatment Focus (Study level),Total N Randomized (Study level),Outcome,Outcome Measure,Comparison,NCPTSD Treatment Names,Assessment Point Category,Assessment Point,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Military Status (Study level),Active Duty Military (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
akbarian2015_BAI_AvsB_0_ITT_1,Mixed: Psychotherapy & pharmacotherapy,PTSD,40,Anxiety,BAI,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Medication as usual,End of Treatment,0,ITT,Group x Time interaction,,1.21,SD,0.301,,p<0.01,,,,,,,,Community,,,1,0.7857,,0.2143,Mixed,"intimate partner violence, accidents, illness/medical procedure",Medium,"Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.",43629,2019
akbarian2015_BDI_AvsB_0_ITT_1,Mixed: Psychotherapy & pharmacotherapy,PTSD,40,Depression,BDI,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Medication as usual,End of Treatment,0,ITT,Group x Time interaction,,6.05,SD,0.189,,p<0.05,,,,,,,,Community,,,1,0.7857,,0.2143,Mixed,"intimate partner violence, accidents, illness/medical procedure",Medium,"Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.",43629,2019
alghamdi2015_HADSAnxie_AvsB_0_ITT_1,Psychotherapy,PTSD,34,Anxiety,HADS - Anxiety,A vs B,Narrative Exposure Therapy (NET) vs Waitlist,End of Treatment,0,ITT,,Hedges' g,1.57,,,,p=0.001,,,,,,,,Community,0,0,1,0,,1,,,Medium,"Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.",46524,2020
alghamdi2015_HADSDepre_AvsB_0_ITT_1,Psychotherapy,PTSD,34,Depression,HADS - Depression,A vs B,Narrative Exposure Therapy (NET) vs Waitlist,End of Treatment,0,ITT,,Hedges' g,1.15,,,,p=0.001,,,,,,,,Community,0,0,1,0,,1,,,Medium,"Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.",46524,2020
arntz2007_FearQuestio_AvsB_4_Comp_1,Psychotherapy,PTSD,67,Anxiety,Fear Questionnaire - Main Phobia Scale,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,Assessment at <3 Months,4,Completer,Treatment x Time interaction,eta-squared,0.001,,,,p=0.90,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_FearQuestio_AvsB_4_ITT_1,Psychotherapy,PTSD,67,Anxiety,Fear Questionnaire - Main Phobia Scale,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,Assessment at <3 Months,4,ITT,Treatment x Time interaction,eta-squared,0.009,,,,p=0.63,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_SCL90Hos_AvsB_0_Comp_1,Psychotherapy,PTSD,67,Anger,SCL-90 - Hostility,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,End of Treatment,0,Completer,,Cohen's d,0.1,,,,p=0.73,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_SCL90Hos_AvsB_0_ITT_1,Psychotherapy,PTSD,67,Anger,SCL-90 - Hostility,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,End of Treatment,0,ITT,,Cohen's d,0.18,,,,p=0.47,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_SCL90Hos_AvsB_4_Comp_1,Psychotherapy,PTSD,67,Anger,SCL-90 - Hostility,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,Assessment at <3 Months,4,Completer,,Cohen's d,0.61,,,,p=0.045,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
arntz2007_SCL90Hos_AvsB_4_ITT_1,Psychotherapy,PTSD,67,Anger,SCL-90 - Hostility,A vs B,Imaginal exposure plus imagery rescripting vs Imaginal exposure,Assessment at <3 Months,4,ITT,,Cohen's d,0.58,,,,p=0.0175,,,,,,,,Community,,,1,0.6567,,0.3433,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)",High,"Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. Journal of Behavior Therapy and Experimental Psychiatry. 2007 2016-09-15;38(4):345-70. doi: http://dx.doi.org/10.1016/j.jbtep.2007.10.006. PMID: 18005935.",30284,2019
asukai2010_CESDJapan_AvsB_0_ITT_1,Psychotherapy,PTSD,24,Depression,CES-D (Japanese version),A vs B,Prolonged Exposure (PE) vs Treatment as usual (TAU),End of Treatment,0,ITT,,Hedges' g,0.72,,,,p<0.05,,,,,,,,Community,,,1,0.875,,0.125,Mixed,"rape/sexual assault, accidents, community/school violence",Medium,"Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135.",84311,2019
asukai2010_GHQ28Japa_AvsB_0_ITT_1,Psychotherapy,PTSD,24,Functioning,GHQ-28 (Japanese version),A vs B,Prolonged Exposure (PE) vs Treatment as usual (TAU),End of Treatment,0,ITT,,Hedges' g,0.7,,,,p<0.05,,,,,,,,Community,,,1,0.875,,0.125,Mixed,"rape/sexual assault, accidents, community/school violence",Medium,"Asukai N, Saito A, Tsuruta N, et al. Efficacy of exposure therapy for Japanese patients with posttraumatic stress disorder due to mixed traumatic events: A randomized controlled study. J Trauma Stress. 2010 Dec;23(6):744-50. doi: 10.1002/jts.20589. PMID: 21171135.",84311,2019
back2019_BDIII_AvsB_0_NA_1,Psychotherapy,PTSD+SUD,81,Depression,BDI-II,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,,Endpoint difference,Standardized beta,-0.8,95% CI,-1.4,-0.2,p=0.01,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_Drinksperd_AvsB_0_NA_1,Psychotherapy,PTSD+SUD,81,Substance Use,Drinks per drinking day,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,,Endpoint difference,Standardized beta,-0.1,95% CI,-0.5,0.3,p=0.64,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_Drinksperd_AvsB_12_NA_1,Psychotherapy,PTSD+SUD,81,Substance Use,Drinks per drinking day,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 3 to <6 Months,12,,Endpoint difference,,,,,,p=0.07,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_Drinksperd_AvsB_26_NA_1,Psychotherapy,PTSD+SUD,81,Substance Use,Drinks per drinking day,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,Assessment at 6 to <12 Months,26,,Endpoint difference,,,,,,p=0.05,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_Percentdays_AvsB_0_NA_1,Psychotherapy,PTSD+SUD,81,Substance Use,Percent days using: any substance,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,,Endpoint difference,Standardized beta,0.1,95% CI,-0.4,0.6,p=0.59,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_Percentdays_AvsB_0_NA_2,Psychotherapy,PTSD+SUD,81,Substance Use,Percent days using: any alcohol,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,,Endpoint difference,Standardized beta,0,95% CI,-0.4,0.5,p=0.95,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_Positiveblo_AvsB_0_NA_1,Psychotherapy,PTSD+SUD,81,Substance Use,Positive blood alcohol concentration test,A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,,Across treatment sessions,,,,,,p=NS,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
back2019_Positiveuri_AvsB_0_NA_1,Psychotherapy,PTSD+SUD,81,Substance Use,Positive urine drug screen (any drug),A vs B,Concurrent Treatment for PTSD and Substance Use Disorder Using Prolonged Exposure (COPE) vs Relapse Prevention,End of Treatment,0,,Across treatment sessions,,,,,,p=NS,,,,,,,,Veteran,0,1,0,0.091,,0.909,Mixed,"Combat-related, Rape/sexual assault, Accidents, Community/school violence, Natural or manmade disasters, Terrorism/policital violence/forced displacement; Other (physical assault, assault with a weapon, unwanted or uncomfortable sexual experience, captivity, severe human suffering, sudden violent death of someone close, sudden unexpected death of someone close, other very stressful event or experience)",Medium,"Back SE, Killeen T, Badour CL, et al. Concurrent treatment of substance use disorders and PTSD using prolonged exposure: a randomized clinical trial in military veterans. Addict Behav. 2019 Mar;90:369-77. doi: 10.1016/j.addbeh.2018.11.032. PMID: 30529244.",51384,2020
badurabrack2015astudy1_PHQ9_AvsB_0_ITT_1,Nonpharmacologic cognitive,PTSD,52,Depression,PHQ-9,A vs B,Attention bias modification (ABM) vs Attention bias modification (ABM),End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p>0.30,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,Medium,"Badura-Brack AS, Naim R, Ryan TJ, et al. Effect of attention training on attention bias variability and PTSD symptoms: randomized controlled trials in Israeli and U.S. combat veterans. Am J Psychiatry. 2015 Dec;172(12):1233-41. doi: 10.1176/appi.ajp.2015.14121578. PMID: 26206075.",44617,2019
